ratio: 内存被购买比例
ram_price: 内存价格，单位：EOS/KB
eos_balance: eosio.ram 账户余额
ram_bought: 被购买的内存数量，单位：字节

ratio	ram_price	eos_balance	ram_bought
94.89%	5.7207	18569468	65207911472
94.88%	5.6889	18531246	65201039524
94.87%	5.6889	18493174	65194167577
94.86%	5.6575	18455249	65187295629
94.85%	5.6264	18417472	65180423681
94.84%	5.6264	18379841	65173551734
94.83%	5.5956	18342356	65166679786
94.82%	5.5652	18305016	65159807838
94.81%	5.5351	18267819	65152935891
94.80%	5.5351	18230766	65146063943
94.79%	5.5054	18193854	65139191995
94.78%	5.4759	18157084	65132320048
94.77%	5.4759	18120455	65125448100
94.76%	5.4468	18083966	65118576152
94.75%	5.4180	18047615	65111704205
94.74%	5.3895	18011403	65104832257
94.73%	5.3895	17975328	65097960309
94.72%	5.3613	17939390	65091088362
94.71%	5.3333	17903588	65084216414
94.70%	5.3333	17867921	65077344466
94.69%	5.3057	17832388	65070472519
94.68%	5.2784	17796989	65063600571
94.67%	5.2513	17761722	65056728623
94.66%	5.2513	17726588	65049856676
94.65%	5.2245	17691585	65042984728
94.64%	5.1980	17656713	65036112780
94.63%	5.1717	17621970	65029240833
94.62%	5.1717	17587357	65022368885
94.61%	5.1457	17552872	65015496937
94.60%	5.1200	17518515	65008624990
94.59%	5.0945	17484285	65001753042
94.58%	5.0945	17450181	64994881094
94.57%	5.0693	17416203	64988009147
94.56%	5.0443	17382349	64981137199
94.55%	5.0196	17348620	64974265251
94.54%	5.0196	17315015	64967393304
94.53%	4.9951	17281532	64960521356
94.52%	4.9709	17248171	64953649408
94.51%	4.9469	17214932	64946777461
94.50%	4.9469	17181814	64939905513
94.49%	4.9231	17148817	64933033565
94.48%	4.8995	17115938	64926161618
94.47%	4.8762	17083179	64919289670
94.46%	4.8762	17050538	64912417722
94.45%	4.8531	17018014	64905545775
94.44%	4.8302	16985608	64898673827
94.43%	4.8075	16953318	64891801879
94.42%	4.8075	16921143	64884929931
94.41%	4.7850	16889084	64878057984
94.40%	4.7628	16857139	64871186036
94.39%	4.7407	16825308	64864314088
94.38%	4.7407	16793590	64857442141
94.37%	4.7189	16761986	64850570193
94.36%	4.6972	16730493	64843698245
94.35%	4.6758	16699111	64836826298
94.34%	4.6545	16667841	64829954350
94.33%	4.6545	16636680	64823082402
94.32%	4.6335	16605630	64816210455
94.31%	4.6126	16574689	64809338507
94.30%	4.5919	16543856	64802466559
94.29%	4.5919	16513131	64795594612
94.28%	4.5714	16482514	64788722664
94.27%	4.5511	16452003	64781850716
94.26%	4.5310	16421599	64774978769
94.25%	4.5110	16391300	64768106821
94.24%	4.5110	16361107	64761234873
94.23%	4.4912	16331019	64754362926
94.22%	4.4716	16301034	64747490978
94.21%	4.4522	16271153	64740619030
94.20%	4.4329	16241375	64733747083
94.19%	4.4329	16211700	64726875135
94.18%	4.4138	16182127	64720003187
94.17%	4.3948	16152655	64713131240
94.16%	4.3761	16123284	64706259292
94.15%	4.3574	16094013	64699387344
94.14%	4.3574	16064842	64692515397
94.13%	4.3390	16035771	64685643449
94.12%	4.3207	16006799	64678771501
94.11%	4.3025	15977925	64671899554
94.10%	4.2845	15949149	64665027606
94.09%	4.2845	15920470	64658155658
94.08%	4.2667	15891888	64651283711
94.07%	4.2490	15863402	64644411763
94.06%	4.2314	15835013	64637539815
94.05%	4.2140	15806719	64630667868
94.04%	4.1967	15778520	64623795920
94.03%	4.1967	15750415	64616923972
94.02%	4.1796	15722404	64610052025
94.01%	4.1626	15694487	64603180077
94.00%	4.1457	15666663	64596308129
93.99%	4.1290	15638931	64589436182
93.98%	4.1290	15611292	64582564234
